#Organism Name	Organism Groups		Size(Mb)	Chromosomes
"Pseudogulbenkiania subflava"	Bacteria	Proteobacteria	4.3674	0
"Pseudogymnoascus destructans"	Eukaryota	Fungi	35.8182	0
"Pseudogymnoascus destructans partitivirus-pa"	Viruses	Other	0.003206	2
"Pseudogymnoascus pannorum"	Eukaryota	Fungi	30.5347	0
"Pseudogymnoascus sp. 03VT05"	Eukaryota	Fungi	33.2926	0
"Pseudogymnoascus sp. 04NY16"	Eukaryota	Fungi	31.3143	0
"Pseudogymnoascus sp. 05NY08"	Eukaryota	Fungi	32.2063	0
"Pseudogymnoascus sp. 23342-1-I1"	Eukaryota	Fungi	32.9003	0
"Pseudogymnoascus sp. 24MN13"	Eukaryota	Fungi	30.1795	0
"Pseudogymnoascus sp. BL308"	Eukaryota	Fungi	31.419	0
"Pseudogymnoascus sp. BL549"	Eukaryota	Fungi	25.8642	0
"Pseudogymnoascus sp. VKM F-103"	Eukaryota	Fungi	30.2558	0
"Pseudogymnoascus sp. VKM F-3557"	Eukaryota	Fungi	27.6499	0
"Pseudogymnoascus sp. VKM F-3775"	Eukaryota	Fungi	28.5069	0
"Pseudogymnoascus sp. VKM F-3808"	Eukaryota	Fungi	27.7789	0
"Pseudogymnoascus sp. VKM F-4246"	Eukaryota	Fungi	25.7599	0
"Pseudogymnoascus sp. VKM F-4281 (FW-2241)"	Eukaryota	Fungi	26.5496	0
"Pseudogymnoascus sp. VKM F-4513 (FW-928)"	Eukaryota	Fungi	26.4407	0
"Pseudogymnoascus sp. VKM F-4514 (FW-929)"	Eukaryota	Fungi	27.027	0
"Pseudogymnoascus sp. VKM F-4515 (FW-2607)"	Eukaryota	Fungi	32.0069	0
"Pseudogymnoascus sp. VKM F-4516 (FW-969)"	Eukaryota	Fungi	27.5992	0
"Pseudogymnoascus sp. VKM F-4517 (FW-2822)"	Eukaryota	Fungi	32.8804	0
"Pseudogymnoascus sp. VKM F-4518 (FW-2643)"	Eukaryota	Fungi	35.4794	0
"Pseudogymnoascus sp. VKM F-4519 (FW-2642)"	Eukaryota	Fungi	32.5782	0
"Pseudogymnoascus sp. VKM F-4520 (FW-2644)"	Eukaryota	Fungi	34.0964	0
"Pseudogymnoascus sp. WSF 3629"	Eukaryota	Fungi	35.5171	0
"Pseudogymnoascus verrucosus"	Eukaryota	Fungi	30.1749	0
"Pseudohaliea rubra"	Bacteria	Proteobacteria	3.2123	0
"Pseudohalonectria lignicola"	Eukaryota	Fungi	41.6495	0
"Pseudohoeflea suaedae"	Bacteria	Proteobacteria	3.77216	0
"Pseudohongiella"	Bacteria	Proteobacteria	3.74501	0
"Pseudohongiella acticola"	Bacteria	Proteobacteria	3.61248	0
"Pseudohongiella nitratireducens"	Bacteria	Proteobacteria	3.41012	0
"Pseudohongiella spirulinae"	Bacteria	Proteobacteria	3.34512	1
"Pseudois nayaur"	Eukaryota	Animals	2584.17	0
"Pseudokeronopsis carnea"	Eukaryota	Protists	76.7708	0
"Pseudokineococcus lusitanus"	Bacteria	Terrabacteria group	3.83903	0
"Pseudolabrys"	Bacteria	Proteobacteria	4.74104	1
"Pseudolabrys taiwanensis"	Bacteria	Proteobacteria	5.59374	1
"Pseudoliparis"	Eukaryota	Animals	840.641	0
"Pseudoloma neurophilia"	Eukaryota	Fungi	5.24841	0
"Pseudomassariella vexata"	Eukaryota	Fungi	44.7115	0
"Pseudomicrostroma glucosiphilum"	Eukaryota	Fungi	17.1843	0
"Pseudomonad phage gh-1"	Viruses	Other	0.037359	1
"Pseudomonadaceae bacterium"	Bacteria	Proteobacteria	4.49971	0
"Pseudomonadaceae bacterium P17C"	Bacteria	Proteobacteria	4.35807	0
"Pseudomonadaceae bacterium P28C"	Bacteria	Proteobacteria	4.31911	0
"Pseudomonadaceae bacterium P30C"	Bacteria	Proteobacteria	4.35149	0
"Pseudomonadaceae bacterium P4C"	Bacteria	Proteobacteria	4.35363	0
"Pseudomonadaceae bacterium SI-3"	Bacteria	Proteobacteria	4.83861	1
"Pseudomonadaceae bacterium UBA1017"	Bacteria	Proteobacteria	4.15744	0
"Pseudomonadaceae bacterium UBA1462"	Bacteria	Proteobacteria	3.57231	0
"Pseudomonadaceae bacterium UBA1659"	Bacteria	Proteobacteria	4.18097	0
"Pseudomonadaceae bacterium UBA1973"	Bacteria	Proteobacteria	3.23364	0
"Pseudomonadaceae bacterium UBA2007"	Bacteria	Proteobacteria	4.07238	0
"Pseudomonadaceae bacterium UBA2015"	Bacteria	Proteobacteria	3.99998	0
"Pseudomonadaceae bacterium UBA2494"	Bacteria	Proteobacteria	4.17357	0
"Pseudomonadaceae bacterium UBA2533"	Bacteria	Proteobacteria	4.03552	0
"Pseudomonadaceae bacterium UBA3156"	Bacteria	Proteobacteria	3.86481	0
"Pseudomonadaceae bacterium UBA3161"	Bacteria	Proteobacteria	3.50073	0
"Pseudomonadaceae bacterium UBA3367"	Bacteria	Proteobacteria	3.35642	0
"Pseudomonadaceae bacterium UBA3606"	Bacteria	Proteobacteria	3.61387	0
"Pseudomonadaceae bacterium UBA4526"	Bacteria	Proteobacteria	3.39661	0
"Pseudomonadaceae bacterium UBA4539"	Bacteria	Proteobacteria	4.22432	0
"Pseudomonadaceae bacterium UBA5092"	Bacteria	Proteobacteria	3.63408	0
"Pseudomonadaceae bacterium UBA5108"	Bacteria	Proteobacteria	3.61599	0
"Pseudomonadaceae bacterium UBA5811"	Bacteria	Proteobacteria	1.87567	0
"Pseudomonadaceae bacterium UBA6525"	Bacteria	Proteobacteria	2.86307	0
"Pseudomonadaceae bacterium UBA6586"	Bacteria	Proteobacteria	2.34218	0
"Pseudomonadaceae bacterium UBA6589"	Bacteria	Proteobacteria	3.02621	0
"Pseudomonadaceae bacterium UBA6596"	Bacteria	Proteobacteria	3.37834	0
"Pseudomonadaceae bacterium UBA6597"	Bacteria	Proteobacteria	3.44042	0
"Pseudomonadaceae bacterium UBA6941"	Bacteria	Proteobacteria	3.45243	0
"Pseudomonadaceae bacterium UBA6949"	Bacteria	Proteobacteria	3.45128	0
"Pseudomonadaceae bacterium UBA7298"	Bacteria	Proteobacteria	3.79746	0
"Pseudomonadaceae bacterium UBA7304"	Bacteria	Proteobacteria	3.37983	0
"Pseudomonadaceae bacterium UBA7806"	Bacteria	Proteobacteria	3.32314	0
"Pseudomonadaceae bacterium UBA833"	Bacteria	Proteobacteria	3.59409	0
"Pseudomonadaceae bacterium UBA836"	Bacteria	Proteobacteria	3.55987	0
"Pseudomonadaceae bacterium UBA839"	Bacteria	Proteobacteria	3.00957	0
"Pseudomonadaceae bacterium UBA853"	Bacteria	Proteobacteria	4.01578	0
"Pseudomonadales bacterium"	Bacteria	Proteobacteria	6.17508	0
"Pseudomonadales bacterium 32-42-5"	Bacteria	Proteobacteria	1.41991	0
"Pseudomonadales bacterium 32-61-5"	Bacteria	Proteobacteria	2.32197	0
"Pseudomonadales bacterium GWC1_66_9"	Bacteria	Proteobacteria	2.79325	0
"Pseudomonadales bacterium GWC2_63_15"	Bacteria	Proteobacteria	3.66774	0
"Pseudomonadales bacterium RIFCSPHIGHO2_01_FULL_64_12"	Bacteria	Proteobacteria	4.16509	0
"Pseudomonadales bacterium RIFCSPHIGHO2_02_FULL_60_43"	Bacteria	Proteobacteria	4.3944	0
"Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16"	Bacteria	Proteobacteria	3.47493	0
"Pseudomonadales bacterium RIFCSPLOWO2_02_FULL_63_210"	Bacteria	Proteobacteria	3.7327	0
"Pseudomonadales bacterium RIFCSPLOWO2_12_59_9"	Bacteria	Proteobacteria	3.22881	0
"Pseudomonadales bacterium RIFCSPLOWO2_12_60_38"	Bacteria	Proteobacteria	6.16123	0
"Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450"	Bacteria	Proteobacteria	6.16138	0
"Pseudomonas"	Bacteria	Proteobacteria	14.113	1
"Pseudomonas abietaniphila"	Bacteria	Proteobacteria	7.22245	0
"Pseudomonas abyssi"	Bacteria	Proteobacteria	4.32274	0
"Pseudomonas acidophila"	Bacteria	Proteobacteria	7.17094	0
"Pseudomonas aeruginosa"	Bacteria	Proteobacteria	6.2644	1
"Pseudomonas aeruginosa hage PaZq-1"	Viruses	Other	0.094315	1
"Pseudomonas aestusnigri"	Bacteria	Proteobacteria	3.82977	0
"Pseudomonas agarici"	Bacteria	Proteobacteria	5.51139	1
"Pseudomonas alcaligenes"	Bacteria	Proteobacteria	4.4063	1
"Pseudomonas alcaliphila"	Bacteria	Proteobacteria	5.34029	1
"Pseudomonas alkylphenolica"	Bacteria	Proteobacteria	6.16893	1
"Pseudomonas amygdali"	Bacteria	Proteobacteria	7.31726	1
"Pseudomonas anguilliseptica"	Bacteria	Proteobacteria	5.22962	0
"Pseudomonas antarctica"	Bacteria	Proteobacteria	6.60704	1
"Pseudomonas argentinensis"	Bacteria	Proteobacteria	5.10802	0
"Pseudomonas arsenicoxydans"	Bacteria	Proteobacteria	6.71768	1
"Pseudomonas asiatica"	Bacteria	Proteobacteria	6.45908	0
"Pseudomonas asplenii"	Bacteria	Proteobacteria	7.67389	1
"Pseudomonas asturiensis"	Bacteria	Proteobacteria	6.1741	0
"Pseudomonas avellanae"	Bacteria	Proteobacteria	6.99918	1
"Pseudomonas azotifigens"	Bacteria	Proteobacteria	5.01742	0
"Pseudomonas azotoformans"	Bacteria	Proteobacteria	7.16875	1
"Pseudomonas baetica"	Bacteria	Proteobacteria	6.90281	0
"Pseudomonas balearica"	Bacteria	Proteobacteria	4.38348	1
"Pseudomonas batumici"	Bacteria	Proteobacteria	6.6068	0
"Pseudomonas bauzanensis"	Bacteria	Proteobacteria	8.60877	0
"Pseudomonas benzenivorans"	Bacteria	Proteobacteria	5.74314	0
"Pseudomonas bohemica"	Bacteria	Proteobacteria	6.48665	0
"Pseudomonas borbori"	Bacteria	Proteobacteria	5.27047	0
"Pseudomonas brassicacearum"	Bacteria	Proteobacteria	7.11365	1
"Pseudomonas brenneri"	Bacteria	Proteobacteria	6.03271	1
"Pseudomonas caeni"	Bacteria	Proteobacteria	3.02232	0
"Pseudomonas canadensis"	Bacteria	Proteobacteria	6.74589	0
"Pseudomonas cannabina"	Bacteria	Proteobacteria	6.38831	0
"Pseudomonas capeferrum"	Bacteria	Proteobacteria	5.94044	0
"Pseudomonas caricapapayae"	Bacteria	Proteobacteria	6.39219	0
"Pseudomonas caspiana"	Bacteria	Proteobacteria	7.30089	0
"Pseudomonas cedrina"	Bacteria	Proteobacteria	6.53902	1
"Pseudomonas cerasi"	Bacteria	Proteobacteria	6.37936	1
"Pseudomonas chengduensis"	Bacteria	Proteobacteria	5.42896	0
"Pseudomonas chloritidismutans"	Bacteria	Proteobacteria	5.05635	0
"Pseudomonas chlororaphis"	Bacteria	Proteobacteria	7.29862	1
"Pseudomonas cichorii"	Bacteria	Proteobacteria	6.01927	1
"Pseudomonas citronellolis"	Bacteria	Proteobacteria	7.67976	1
"Pseudomonas coleopterorum"	Bacteria	Proteobacteria	4.92289	0
"Pseudomonas composti"	Bacteria	Proteobacteria	5.39249	0
"Pseudomonas congelans"	Bacteria	Proteobacteria	5.91411	0
"Pseudomonas coronafaciens"	Bacteria	Proteobacteria	6.77886	0
"Pseudomonas corrugata"	Bacteria	Proteobacteria	6.26658	1
"Pseudomonas costantinii"	Bacteria	Proteobacteria	7.24722	0
"Pseudomonas cremoricolorata"	Bacteria	Proteobacteria	4.7804	1
"Pseudomonas cuatrocienegasensis"	Bacteria	Proteobacteria	5.35874	0
"Pseudomonas daroniae"	Bacteria	Proteobacteria	5.57008	0
"Pseudomonas deceptionensis"	Bacteria	Proteobacteria	5.09676	0
"Pseudomonas delhiensis"	Bacteria	Proteobacteria	6.72743	0
"Pseudomonas denitrificans (nomen rejiciendum)"	Bacteria	Proteobacteria	7.20204	0
"Pseudomonas donghuensis"	Bacteria	Proteobacteria	5.70134	0
"Pseudomonas dryadis"	Bacteria	Proteobacteria	5.88825	0
"Pseudomonas duriflava"	Bacteria	Proteobacteria	4.976	0
"Pseudomonas endophytica"	Bacteria	Proteobacteria	4.97384	0
"Pseudomonas entomophila"	Bacteria	Proteobacteria	6.0496	1
"Pseudomonas extremaustralis"	Bacteria	Proteobacteria	7.0692	1
"Pseudomonas extremorientalis"	Bacteria	Proteobacteria	6.3731	1
"Pseudomonas ficuserectae"	Bacteria	Proteobacteria	5.68238	0
"Pseudomonas flavescens"	Bacteria	Proteobacteria	5.85566	0
"Pseudomonas flexibilis"	Bacteria	Proteobacteria	3.7484	0
"Pseudomonas floridensis"	Bacteria	Proteobacteria	6.10371	0
"Pseudomonas fluorescens"	Bacteria	Proteobacteria	6.84583	1
"Pseudomonas fluvialis"	Bacteria	Proteobacteria	3.29114	0
"Pseudomonas formosensis"	Bacteria	Proteobacteria	3.44347	0
"Pseudomonas fragi"	Bacteria	Proteobacteria	5.56295	1
"Pseudomonas frederiksbergensis"	Bacteria	Proteobacteria	7.2355	1
"Pseudomonas fulva"	Bacteria	Proteobacteria	4.92077	1
"Pseudomonas furukawaii"	Bacteria	Proteobacteria	6.67805	1
"Pseudomonas fuscovaginae"	Bacteria	Proteobacteria	6.59235	1
"Pseudomonas gallaeciensis"	Bacteria	Proteobacteria	4.24654	0
"Pseudomonas gessardii"	Bacteria	Proteobacteria	6.69563	0
"Pseudomonas gingeri"	Bacteria	Proteobacteria	7.66664	0
"Pseudomonas graminis"	Bacteria	Proteobacteria	6.02811	0
"Pseudomonas granadensis"	Bacteria	Proteobacteria	5.94317	1
"Pseudomonas grimontii"	Bacteria	Proteobacteria	7.10774	0
"Pseudomonas guangdongensis"	Bacteria	Proteobacteria	3.19115	1
"Pseudomonas guariconensis"	Bacteria	Proteobacteria	5.61219	0
"Pseudomonas guguanensis"	Bacteria	Proteobacteria	5.08417	0
"Pseudomonas guineae"	Bacteria	Proteobacteria	4.14959	0
"Pseudomonas helleri"	Bacteria	Proteobacteria	5.86526	0
"Pseudomonas helmanticensis"	Bacteria	Proteobacteria	6.62809	0
"Pseudomonas humi"	Bacteria	Proteobacteria	6.99399	0
"Pseudomonas hunanensis"	Bacteria	Proteobacteria	6.64442	0
"Pseudomonas hussainii"	Bacteria	Proteobacteria	3.68231	0
"Pseudomonas indica"	Bacteria	Proteobacteria	5.78788	0
"Pseudomonas indoloxydans"	Bacteria	Proteobacteria	5.19965	0
"Pseudomonas inefficax"	Bacteria	Proteobacteria	6.24004	0
"Pseudomonas japonica"	Bacteria	Proteobacteria	6.71861	0
"Pseudomonas jessenii"	Bacteria	Proteobacteria	6.99332	0
"Pseudomonas jinjuensis"	Bacteria	Proteobacteria	5.86867	0
"Pseudomonas kairouanensis"	Bacteria	Proteobacteria	6.70232	0
"Pseudomonas kilonensis"	Bacteria	Proteobacteria	6.84372	0
"Pseudomonas knackmussii"	Bacteria	Proteobacteria	6.16291	1
"Pseudomonas koreensis"	Bacteria	Proteobacteria	7.49819	1
"Pseudomonas kribbensis"	Bacteria	Proteobacteria	6.41182	1
"Pseudomonas kunmingensis"	Bacteria	Proteobacteria	4.89805	0
"Pseudomonas kuykendallii"	Bacteria	Proteobacteria	4.69037	0
"Pseudomonas lactis"	Bacteria	Proteobacteria	6.89262	1
"Pseudomonas laurylsulfatiphila"	Bacteria	Proteobacteria	6.68464	0
"Pseudomonas laurylsulfativorans"	Bacteria	Proteobacteria	6.68605	0
"Pseudomonas libanensis"	Bacteria	Proteobacteria	6.28245	1
"Pseudomonas lini"	Bacteria	Proteobacteria	6.56885	1
"Pseudomonas linyingensis"	Bacteria	Proteobacteria	4.72112	0
"Pseudomonas litoralis"	Bacteria	Proteobacteria	3.98794	1
"Pseudomonas lundensis"	Bacteria	Proteobacteria	5.4093	0
"Pseudomonas lurida"	Bacteria	Proteobacteria	6.31165	1
"Pseudomonas lutea"	Bacteria	Proteobacteria	5.6475	0
"Pseudomonas luteola"	Bacteria	Proteobacteria	6.08978	2
"Pseudomonas mandelii"	Bacteria	Proteobacteria	7.18856	1
"Pseudomonas marginalis"	Bacteria	Proteobacteria	7.27132	0
"Pseudomonas marincola"	Bacteria	Proteobacteria	5.02098	0
"Pseudomonas massiliensis"	Bacteria	Proteobacteria	4.72353	0
"Pseudomonas mediterranea"	Bacteria	Proteobacteria	6.34624	1
"Pseudomonas meliae"	Bacteria	Proteobacteria	5.14364	0
"Pseudomonas mendocina"	Bacteria	Proteobacteria	5.07281	1
"Pseudomonas migulae"	Bacteria	Proteobacteria	6.78231	0
"Pseudomonas mohnii"	Bacteria	Proteobacteria	6.59259	0
"Pseudomonas monteilii"	Bacteria	Proteobacteria	4.71436	1
"Pseudomonas moorei"	Bacteria	Proteobacteria	6.79826	0
"Pseudomonas moraviensis"	Bacteria	Proteobacteria	6.30832	1
"Pseudomonas mosselii"	Bacteria	Proteobacteria	6.26084	1
"Pseudomonas mucidolens"	Bacteria	Proteobacteria	5.85317	1
"Pseudomonas nabeulensis"	Bacteria	Proteobacteria	6.76351	0
"Pseudomonas nitroreducens"	Bacteria	Proteobacteria	6.10514	0
"Pseudomonas oceani"	Bacteria	Proteobacteria	4.15502	0
"Pseudomonas oleovorans"	Bacteria	Proteobacteria	6.88999	1
"Pseudomonas orientalis"	Bacteria	Proteobacteria	6.18864	1
"Pseudomonas oryzae"	Bacteria	Proteobacteria	4.64219	1
"Pseudomonas oryzihabitans"	Bacteria	Proteobacteria	5.51944	1
"Pseudomonas otitidis"	Bacteria	Proteobacteria	6.34474	0
"Pseudomonas pachastrellae"	Bacteria	Proteobacteria	3.93469	0
"Pseudomonas palleroniana"	Bacteria	Proteobacteria	6.29134	1
"Pseudomonas panacis"	Bacteria	Proteobacteria	6.96502	0
"Pseudomonas panipatensis"	Bacteria	Proteobacteria	5.77553	0
"Pseudomonas parafulva"	Bacteria	Proteobacteria	6.124	1
"Pseudomonas paralactis"	Bacteria	Proteobacteria	6.01521	0
"Pseudomonas pelagia"	Bacteria	Proteobacteria	4.64231	0
"Pseudomonas peli"	Bacteria	Proteobacteria	4.48712	0
"Pseudomonas phage 14-1"	Viruses	Other	0.066235	1
"Pseudomonas phage 15b"	Viruses	Other	0.048452	1
"Pseudomonas phage 17A"	Viruses	Other	0.040242	1
"Pseudomonas phage 201phi2-1"	Viruses	Other	0.316674	1
"Pseudomonas phage 22PfluR64PP"	Viruses	Other	0.040822	1
"Pseudomonas phage 67PfluR64PP"	Viruses	Other	0.040748	1
"Pseudomonas phage 71PfluR64PP"	Viruses	Other	0.040582	1
"Pseudomonas phage 73"	Viruses	Other	0.042999	1
"Pseudomonas phage 98PfluR60PP"	Viruses	Other	0.074361	1
"Pseudomonas phage AAT-1"	Viruses	Other	0.057599	1
"Pseudomonas phage Achelous"	Viruses	Other	0.046585	1
"Pseudomonas phage AF"	Viruses	Other	0.042689	1
"Pseudomonas phage Alpheus"	Viruses	Other	0.045756	1
"Pseudomonas phage AN14"	Viruses	Other	0.060973	1
"Pseudomonas phage Andromeda"	Viruses	Other	0.040008	1
"Pseudomonas phage B3"	Viruses	Other	0.038439	1
"Pseudomonas phage Bf7"	Viruses	Other	0.040058	1
"Pseudomonas phage Bjorn"	Viruses	Other	0.045936	1
"Pseudomonas phage BrSP1"	Viruses	Other	0.066189	1
"Pseudomonas phage C11"	Viruses	Other	0.094109	1
"Pseudomonas phage CHA_P1"	Viruses	Other	0.088255	1
"Pseudomonas phage Delta"	Viruses	Other	0.04597	1
"Pseudomonas phage DL54"	Viruses	Other	0.045673	1
"Pseudomonas phage DL60"	Viruses	Other	0.066103	1
"Pseudomonas phage DL62"	Viruses	Other	0.042508	1
"Pseudomonas phage DL64"	Viruses	Other	0.072378	1
"Pseudomonas phage DL68"	Viruses	Other	0.066111	1
"Pseudomonas phage DO4"	Viruses	Other	0.049661	0
"Pseudomonas phage Dobby"	Viruses	Other	0.037152	1
"Pseudomonas phage DVM-2008"	Viruses	Other	0.022689	1
"Pseudomonas phage E79"	Viruses	Other	0.066061	1
"Pseudomonas phage EL"	Viruses	Other	0.211215	1
"Pseudomonas phage EPa61"	Viruses	Other	0.065905	1
"Pseudomonas phage F10"	Viruses	Other	0.039199	1
"Pseudomonas phage F8"	Viruses	Other	0.066015	1
"Pseudomonas phage F_ET309sp/Pa1651"	Viruses	Other	0.037414	1
"Pseudomonas phage F_ET605sp/Pa1651"	Viruses	Other	0.063789	0
"Pseudomonas phage F_HA1208sp/Pa1651"	Viruses	Other	0.04005	0
"Pseudomonas phage F_HA1961sp/Pa1641"	Viruses	Other	0.038354	0
"Pseudomonas phage F_KK2074sp/Pa1651"	Viruses	Other	0.038841	0
"Pseudomonas phage F_MX1987sp/MX560"	Viruses	Other	0.038443	0
"Pseudomonas phage F_MX560sp/Pa1651"	Viruses	Other	0.037414	0
"Pseudomonas phage F_TK1718sp/PAK"	Viruses	Other	0.03913	0
"Pseudomonas phage F_TK1727sp/MX560"	Viruses	Other	0.037907	0
"Pseudomonas phage F_TK1932sp/Pa1651"	Viruses	Other	0.03645	0
"Pseudomonas phage F_TK432sp/Pa1651"	Viruses	Other	0.037398	1
"Pseudomonas phage GP100"	Viruses	Other	0.050547	1
"Pseudomonas phage H70"	Viruses	Other	0.037359	1
"Pseudomonas phage HC15b2"	Viruses	Other	0.040346	1
"Pseudomonas phage Henninger"	Viruses	Other	0.040923	1
"Pseudomonas phage Henu5"	Viruses	Other	0.092558	1
"Pseudomonas phage HU1"	Viruses	Other	0.042551	1
"Pseudomonas phage IME180"	Viruses	Other	0.049494	1
"Pseudomonas phage inbricus"	Viruses	Other	0.070211	1
"Pseudomonas phage ITTPL"	Viruses	Other	0.09273	1
"Pseudomonas phage JBD16C"	Viruses	Other	0.036436	1
"Pseudomonas phage JBD18"	Viruses	Other	0.039014	1
"Pseudomonas phage JBD23"	Viruses	Other	0.037173	0
"Pseudomonas phage JBD24"	Viruses	Other	0.037095	1
"Pseudomonas phage JBD25"	Viruses	Other	0.039552	1
"Pseudomonas phage JBD26"	Viruses	Other	0.03784	1
"Pseudomonas phage JBD30"	Viruses	Other	0.036947	1
"Pseudomonas phage JBD44"	Viruses	Other	0.049033	1
"Pseudomonas phage JBD5"	Viruses	Other	0.03774	1
"Pseudomonas phage JBD58a"	Viruses	Other	0.03828	0
"Pseudomonas phage JBD67"	Viruses	Other	0.038232	1
"Pseudomonas phage JBD68"	Viruses	Other	0.039841	1
"Pseudomonas phage JBD69"	Viruses	Other	0.036938	1
"Pseudomonas phage JBD88a"	Viruses	Other	0.036429	1
"Pseudomonas phage JBD88b"	Viruses	Other	0.048943	0
"Pseudomonas phage JBD90"	Viruses	Other	0.064267	0
"Pseudomonas phage JBD93"	Viruses	Other	0.036629	1
"Pseudomonas phage JBD94b"	Viruses	Other	0.048915	0
"Pseudomonas phage JBDs5"	Viruses	Other	0.036654	0
"Pseudomonas phage JD024"	Viruses	Other	0.03738	1
"Pseudomonas phage JG004"	Viruses	Other	0.093017	1
"Pseudomonas phage JG012"	Viruses	Other	0.058359	1
"Pseudomonas phage JG024"	Viruses	Other	0.066275	1
"Pseudomonas phage JG054"	Viruses	Other	0.057839	1
"Pseudomonas phage JHP"	Viruses	Other	0.048656	1
"Pseudomonas phage K5"	Viruses	Other	0.093754	1
"Pseudomonas phage K8"	Viruses	Other	0.093879	1
"Pseudomonas phage KPP10"	Viruses	Other	0.088322	1
"Pseudomonas phage KPP12"	Viruses	Other	0.064144	1
"Pseudomonas phage KPP21"	Viruses	Other	0.07342	1
"Pseudomonas phage KPP22"	Viruses	Other	0.064415	1
"Pseudomonas phage KPP22M1"	Viruses	Other	0.064415	1
"Pseudomonas phage KPP22M2"	Viruses	Other	0.064415	1
"Pseudomonas phage KPP22M3"	Viruses	Other	0.064415	1
"Pseudomonas phage KPP23"	Viruses	Other	0.062774	1
"Pseudomonas phage KPP25"	Viruses	Other	0.064113	1
"Pseudomonas phage Lana"	Viruses	Other	0.088342	1
"Pseudomonas phage LBL3"	Viruses	Other	0.064427	1
"Pseudomonas phage LIT1"	Viruses	Other	0.072544	1
"Pseudomonas phage Littlefix"	Viruses	Other	0.074895	1
"Pseudomonas phage LKA1"	Viruses	Other	0.041593	1
"Pseudomonas phage LKA5"	Viruses	Other	0.064746	1
"Pseudomonas phage LKD16"	Viruses	Other	0.0432	1
"Pseudomonas phage LMA2"	Viruses	Other	0.06653	1
"Pseudomonas phage LP14"	Viruses	Other	0.07308	1
"Pseudomonas phage Lu11"	Viruses	Other	0.280538	1
"Pseudomonas phage LUZ19"	Viruses	Other	0.043548	1
"Pseudomonas phage LUZ7"	Viruses	Other	0.074901	1
"Pseudomonas phage MBL"	Viruses	Other	0.042519	1
"Pseudomonas phage MD8"	Viruses	Other	0.043277	1
"Pseudomonas phage MP1412"	Viruses	Other	0.061167	1
"Pseudomonas phage MP42"	Viruses	Other	0.036847	1
"Pseudomonas phage MP48"	Viruses	Other	0.036838	1
"Pseudomonas phage MPK6"	Viruses	Other	0.042957	1
"Pseudomonas phage MPK7"	Viruses	Other	0.042874	1
"Pseudomonas phage MR299-2"	Viruses	Other	0.044789	1
"Pseudomonas phage Nerthus"	Viruses	Other	0.045779	1
"Pseudomonas phage NH-4"	Viruses	Other	0.066116	1
"Pseudomonas phage nickie"	Viruses	Other	0.112225	1
"Pseudomonas phage Njord"	Viruses	Other	0.046644	1
"Pseudomonas phage Noxifer"	Viruses	Other	0.278136	1
"Pseudomonas phage NP1"	Viruses	Other	0.058566	1
"Pseudomonas phage NV1"	Viruses	Other	0.045058	1
"Pseudomonas phage O4"	Viruses	Other	0.050509	1
"Pseudomonas phage OBP"	Viruses	Other	0.284757	1
"Pseudomonas phage PA01"	Viruses	Other	0.06622	1
"Pseudomonas phage PA02"	Viruses	Other	0.279095	1
"Pseudomonas phage PA10"	Viruses	Other	0.091212	1
"Pseudomonas phage PA11"	Viruses	Other	0.049639	1
"Pseudomonas phage PA1C"	Viruses	Other	0.304671	1
"Pseudomonas phage Pa2"	Viruses	Other	0.073008	1
"Pseudomonas phage Pa43"	Viruses	Other	0.187417	0
"Pseudomonas phage PA5"	Viruses	Other	0.066182	1
"Pseudomonas phage PaBG"	Viruses	Other	0.258139	1
"Pseudomonas phage PAE1"	Viruses	Other	0.062181	1
"Pseudomonas phage PaGz-1"	Viruses	Other	0.093975	1
"Pseudomonas phage PAJU2"	Viruses	Other	0.046872	1
"Pseudomonas phage PAK_P1"	Viruses	Other	0.093198	1
"Pseudomonas phage PAK_P2"	Viruses	Other	0.092495	1
"Pseudomonas phage PAK_P3"	Viruses	Other	0.088097	1
"Pseudomonas phage PAK_P4"	Viruses	Other	0.093147	1
"Pseudomonas phage PAK_P5"	Viruses	Other	0.088135	1
"Pseudomonas phage PaMx11"	Viruses	Other	0.059878	1
"Pseudomonas phage PaMx28"	Viruses	Other	0.055108	1
"Pseudomonas phage PaMx31"	Viruses	Other	0.093493	1
"Pseudomonas phage PaMx33"	Viruses	Other	0.043265	1
"Pseudomonas phage PaMx35"	Viruses	Other	0.043733	1
"Pseudomonas phage PaMx41"	Viruses	Other	0.04349	1
"Pseudomonas phage PaMx42"	Viruses	Other	0.043225	1
"Pseudomonas phage PaMx43"	Viruses	Other	0.043223	1
"Pseudomonas phage PaMx46"	Viruses	Other	0.043266	1
"Pseudomonas phage PaMx74"	Viruses	Other	0.058637	1
"Pseudomonas phage PAN70"	Viruses	Other	0.039673	1
"Pseudomonas phage PaoP5"	Viruses	Other	0.093464	1
"Pseudomonas phage PaP1"	Viruses	Other	0.091715	1
"Pseudomonas phage PaP2"	Viruses	Other	0.043783	1
"Pseudomonas phage PaSz-4"	Viruses	Other	0.061942	1
"Pseudomonas phage PaSzW-1"	Viruses	Other	0.094315	1
"Pseudomonas phage PaTs-2"	Viruses	Other	0.06182	1
